"All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI"
6478,"AGC110516",11261,136,20,1,"shg2005","AOlf",11261,154,144,136,20,1.6,0.65,8.9,1,2
6485,"UGC01239",5413,208,14,1,"shg2005","AOlf",5413,225,217,208,14,9.3,2.82,8.7,1,5.7
6500,"UGC01240",1815,123,15,1,"shg2005","AOlf",1815,135,130,123,15,8.7,4.28,8.5,1,15.6
6502,"UGC01238",4499,279,14,1,"shg2005","AOlf",4499,297,288,279,14,9.6,6.13,8.5,1,10.1
6505,"IC0000159",3915,218,15,1,"tmc2006","Nanc",3915,235,227,218,15,7.1,3.12,10.8,1,6.1
6507,"AGC110521",5522,165,16,1,"shg2005","AOlf",5522,181,173,165,16,6.2,2.97,8.6,1,8
6513,"ES114-007",2211,75,13,1,"ksk2004","PAKS",2211,87,80,75,13,10.8,17.14,13.4,1,82.8
6516,"UGC01242",,,,,"shg2005","AOlf",7378,134,126,,40,3.4,2.41,8.8,1,4.6
6523,"AGC110522",11228,68,20,1,"shg2005","AOlf",11228,79,72,68,20,2.5,0.27,8.9,1,1.7
6528,"UGC01244",3122,176,9,1,"shg2005","AOlf",3122,191,185,176,9,16,4.66,8.4,1,11.5
6534,"AGC110524",11180,226,19,1,"shg2005","AOlf",11180,248,235,226,19,2.8,2.2,8.8,1,4.5
6539,"UGC001241",,,,,"tmc2006","Nanc",6743,304,275,,44,4.3,2.2,11,4,3.2
6542,"AGC110525",4207,216,19,1,"shg2005","AOlf",4207,232,225,216,19,2,0.91,8.5,1,2
6544,"AGC110528",10757,314,19,1,"shg2005","AOlf",10757,339,323,314,19,3.2,2.61,8.9,1,3.9
6545,"UGC01246",817,83,10,1,"shg2005","AOlf",817,92,88,83,10,13.9,8.67,8.4,1,40.2
6546,"NGC00671",5519,393,11,2,"ctf2009","AOG",5514,414,404,395,14,9,4.49,1.3,4,5.3
6552,"UGC01207",1256,121,14,1,"shg2005","GB300",1256,134,128,121,14,9.3,7.21,11.1,1,26.4
6560,"NGC000669",4668,748,19,1,"ctm2010","GBT",,,,,500,0.6,0.86,1.6,16,1.5
6569,"UGC01252",4912,128,18,1,"shg2005","AOlf",4912,142,135,128,18,4.8,2.66,8.7,1,8.6
6570,"NGC00670",3702,423,10,2,"ctf2009","AOG",3703,442,434,425,13,9.9,4.65,1.3,4,5.1
6572,"UGC01251",4838,301,17,1,"ctf2009","GBT",4838,319,310,301,17,4.5,1.81,2.1,4,3
6573,"UGC01253",6643,431,11,1,"shg2005","AOlf",6643,454,440,431,11,12.7,5.67,8.8,1,5.8
6574,"AGC001249",,,,,"sgh2008","ALFA",334,127,124,,100,255.4,90.71,5.2,1,317.2
6580,"UGC01255",5237,208,12,1,"shg2005","AOlf",5237,225,217,208,12,12.4,4.06,8.7,1,8.8
6581,"NGC000685",1362,156,13,1,"ksk2004","PAKS",1362,172,165,156,13,27,41.78,13.3,1,118
6582,"AGC110530",5583,93,14,1,"shg2005","AOlf",5583,105,99,93,14,8.7,4.44,8.7,1,20.5
6586,"AGC110531",12257,316,20,1,"shg2005","AOlf",12257,343,325,316,20,1.7,3.02,9,1,4.4
6587,"AGC410352",5174,187,18,1,"shg2005","Nanc",5174,202,196,187,18,4.1,3.71,5.5,1,9
6595,"NGC00672",,,,,"ctf2009","AOG",422,154,151,,25,399.2,67.14,1.3,4,192.1
6607,"UGC01257",4661,324,19,1,"shg2005","AOlf",4661,343,333,324,19,3.8,2.36,8.5,1,3.4
6624,"UGC01259",5181,315,8,1,"shg2005","AOlf",5181,334,324,315,8,36.7,13.07,8.5,1,19.1
6626,"PG0006626",1613,79,13,1,"ksk2004","PAKS",1613,91,84,79,13,12.8,17.79,13.3,1,82.2
6627,"UGC01261",5016,297,16,1,"shg2005","AOlf",5016,315,306,297,16,6.5,2.57,8.5,1,3.9
6628,"UGC01262",5095,188,18,1,"shg2005","AOlf",5095,205,197,188,18,5.1,1.77,8.7,1,3.8
6633,"UGC01260",5500,152,16,1,"shg2005","AOlf",5500,168,161,152,16,7.6,3.01,8.7,1,5.7
6634,"UGC01263",,,,,"shg2005","AOlf",5346,138,131,,25,3.7,0.51,8.5,1,1.5
6636,"UGC01264",4789,221,18,1,"shg2005","AOlf",4789,238,230,221,18,4.7,1.9,8.5,1,3.7
6645,"UGC01265",,,,,"shg2005","AOlf",8971,439,422,,100,2.8,2.11,8.9,1,2.3
6646,"ES414-003",,,,,"tmc2006","Nanc",5076,446,417,,42,4.8,4.09,10.7,4,4.4
6654,"UGC01268",5236,239,18,1,"shg2005","AOlf",5236,257,248,239,18,5.1,1.18,8.7,1,1.6
6665,"UGC01273",,,,,"shg2005","AOlf",5131,227,219,,30,3.2,0.67,8.7,1,1.3
6667,"PG0006667",1994,179,14,1,"ksk2004","PAKS",1994,196,188,179,14,9.5,22.99,13.4,1,55.2
6668,"AGC110542",5133,168,19,1,"shg2005","AOlf",5133,184,177,168,19,2.2,0.91,8.5,1,2.5
6671,"AGC410359",1756,372,17,1,"shg2005","GB300",1756,386,381,372,17,5.6,21.33,5.6,1,27.1
6675,"UGC01276",2748,212,8,1,"shg2005","AOlf",2748,227,221,212,8,34.3,12.68,8.4,1,26.9
6678,"UGC01278",10039,305,19,1,"shg2005","AOlf",10039,329,314,305,19,3,1.79,8.9,1,2.6
6679,"IC0001734",4996,168,20,1,"tmc2006","Nanc",4996,191,177,168,20,6.1,5.13,10.9,2,11.7
6684,"AGC110541",4028,155,15,1,"shg2005","AOlf",4028,170,163,155,15,7.6,4.92,8.5,1,13.2
6686,"PG0006686",5266,341,20,1,"tmc2006","Nanc",5266,367,350,341,20,8.4,4.7,10.9,2,6.5
6687,"UGC01279",4622,277,20,1,"shg2005","AOlf",4622,295,286,277,20,2.4,0.92,8.6,1,1.6
6691,"UGC01277",4156,492,20,1,"shg2005","AOlf",4156,512,501,492,20,2.3,2.81,8.6,1,2.9
6699,"UGC001281",157,112,8,1,"ctm2010","GBT",157,122,119,112,8,66.4,33.17,1.6,4,132.9
6703,"PG0006703",1439,164,17,1,"ctm2010","GBT",1439,177,173,164,17,5.5,3.77,1.6,4,10.7
6718,"UGC01288",5283,168,15,1,"shg2005","AOlf",5283,184,176,168,15,8.5,5.69,8.7,1,10.8
6721,"AGC110548",,,,,"shg2005","AOlf",19695,480,446,,40,2,1.46,9.4,1,1.5
6722,"ES477-009",9505,320,18,1,"tmc2006","Nanc",9505,345,329,320,18,4.1,4.79,11,1,6.8
6728,"UGC01289",4975,151,14,1,"shg2005","AOlf",4975,166,159,151,14,10,2.84,8.5,1,8
6733,"UGC01290",13547,252,18,1,"shg2005","AOlf",13547,278,261,252,18,4.7,1.91,9,1,3.3
6735,"PG0006735",5296,329,18,1,"tmc2006","Nanc",5296,349,338,329,18,4.4,3.07,10.7,1,4.4
6738,"AGC110757",,,,,"shg2005","AOlf",8205,311,298,,40,1.7,0.5,8.7,1,0.7
6749,"AGC110551",5097,128,19,1,"shg2005","AOlf",5097,142,135,128,19,2.7,0.98,8.5,1,3.5
6750,"UGC01294",2868,87,17,1,"shg2005","AOlf",2868,97,92,87,17,5.8,1.72,8.6,1,6.5
6751,"UGC01297",1712,79,13,1,"shg2005","AOlf",1712,88,83,79,13,11,3.52,8.5,1,15.7
6756,"UGC01291",3509,207,8,3,"shg2005","AOlf",3521,223,216,207,15,8.5,6,8.6,1,13.4
6759,"UGC01292",3536,472,8,2,"shg2005","AOlf",3534,492,478,469,11,13.1,11.32,8.4,2,11.4
6778,"UGC01304",1580,235,8,1,"shg2005","AOlf",1580,250,244,235,8,16.8,9.19,8.5,1,17.4
6779,"ES414-007",4965,201,17,1,"ctm2010","GBT",4965,217,210,201,17,5.3,2.14,1.6,4,3.8
6780,"UGC01299",5521,167,19,1,"shg2005","AOlf",5521,183,175,167,19,3.7,3.4,8.7,1,7.1
6789,"AGC110558",,,,,"shg2005","AOlf",10540,465,440,,50,1,1,8.9,2,1
6791,"P0006791",,,,,"ctf2009","GBT",5385,377,367,,50,1,0.72,1.6,4,1
6793,"UGC01305",2669,317,8,1,"shg2005","AOlf",2669,333,326,317,8,59.1,7.12,8.4,1,10.6
6798,"AGC410367",5506,365,13,2,"shg2005","GB300",5505,391,373,364,20,6,6.43,11.4,2,6.6
6799,"NGC00688",4148,337,10,2,"ctf2009","AOG",4146,354,348,339,13,10.7,8.47,1.3,2,11.7
6802,"UGC01306",,,,,"shg2005","AOlf",11318,245,232,,25,2.3,1.49,8.8,1,2.6
6805,"IC0001732",,,,,"ctm2010","GBT",4941,362,353,,200,0.9,2.03,1.6,4,2.6
6810,"AGC110562",7917,155,20,1,"shg2005","AOlf",7917,172,163,155,20,2.1,0.99,8.7,1,2.9
6814,"UGC01309",5184,264,20,1,"shg2005","AOlf",5184,282,273,264,20,2.1,3.36,8.7,1,6
6816,"UGC01310",2973,154,12,1,"shg2005","AOlf",2973,168,162,154,12,11.5,9.61,8.5,1,22.7
6817,"UGC01312",5212,259,17,1,"shg2005","AOlf",5212,277,268,259,17,5.8,3.93,8.7,1,6.6
6823,"UGC01311",4358,134,16,1,"shg2005","AOlf",4358,148,142,134,16,7.4,4.13,8.7,1,12.7
6826,"AGC410368",1830,247,9,2,"shg2005","GB300",1829,258,251,242,12,10.8,17.74,11.1,1,33.8
6827,"UGC01314",3289,171,12,2,"shg2005","AOlf",3297,184,178,169,18,4.6,3.28,8.6,1,6.2
6833,"UGC01313",2938,148,8,1,"shg2005","AOlf",2938,162,156,148,8,142.8,15.56,8.4,1,43.1
6837,"PG0006837",5074,198,18,1,"tmc2006","Nanc",5074,216,207,198,18,4.5,2.82,10.9,1,6.4
6839,"PG0006839",,,,,"tmc2006","Nanc",5286,220,211,,100,12,5.4,10.9,1,10.4
6844,"UGC01315",,,,,"shg2005","AOlf",9760,298,284,,25,3.6,3.66,8.9,1,5.8
6848,"NGC00697",3124,411,7,2,"ctf2009","AOG",3123,427,420,411,8,62.2,38.85,1.3,4,44.5
6851,"UGC01316",4688,205,17,1,"shg2005","AOlf",4688,222,214,205,17,5.5,2.9,8.5,1,6.4
6852,"NGC000702",,,,,"tmc2006","Nanc",10610,322,300,,100,6,6.9,11.1,2,10.7
6855,"UGC01322",4843,109,13,2,"shg2005","AOlf",4851,116,110,103,18,5,1.71,8.7,1,3
6863,"UGC01323",4832,181,14,1,"shg2005","AOlf",4832,197,190,181,14,10,3.79,8.5,1,9.5
6864,"AGC410377",2130,175,12,1,"shg2005","GB300",2130,191,184,175,12,11.2,10.5,11.1,1,27.1
6865,"UGC01319",5312,241,13,2,"ctf2009","GBT",5316,251,243,234,18,4.3,1.22,1.6,4,2.3
6872,"UGC01324",10107,428,18,1,"shg2005","AOlf",10107,456,437,428,18,4.7,4.01,8.9,1,4.2
6884,"AGC110573",7532,222,18,1,"shg2005","AOlf",7532,241,231,222,18,3.5,2.39,8.7,1,5
6885,"AGC110575",19333,278,20,1,"shg2005","AOlf",19333,326,287,278,20,4.1,0.88,9.4,4,1.4
6889,"UGC01329",4945,193,7,2,"shg2005","AOlf",4948,210,202,193,8,17.6,6.44,8.7,1,8.1
6893,"UGC01328",4700,232,8,1,"shg2005","AOlf",4700,249,241,232,8,30.6,9.29,8.5,1,18.1
6897,"UGC01334",4993,276,11,2,"shg2005","AOlf",4991,294,285,276,14,8.9,5.36,8.5,1,8.8
6898,"PG0006898",1643,146,10,1,"tmc2006","Nanc",1643,160,154,146,10,26,16.47,10.7,1,47.3
6902,"UGC01335",5109,133,19,1,"shg2005","AOlf",5109,148,141,133,19,3,1.68,8.7,1,4.6
6903,"AGC111771",4958,180,19,1,"shg2005","AOG",4958,195,189,180,19,3.1,0.79,5.4,1,2
6905,"UGC01337",5370,205,18,1,"shg2005","AOlf",5370,222,214,205,18,4.4,3.41,8.6,1,6.7
6911,"AGC110579",6060,114,20,1,"shg2005","AOlf",6060,128,121,114,20,1.5,0.3,8.6,1,1.2
6912,"ES543-020",9522,613,19,1,"tmc2006","Nanc",9522,648,622,613,19,3.2,10.09,11.2,1,7.6
6919,"UGC01330",4391,88,17,1,"shg2005","AOlf",4391,99,93,88,17,5.5,2.31,8.7,1,9.6
6930,"AGC110588",,,,,"shg2005","AOlf",10019,498,477,,50,2.2,1.57,8.8,1,1.5
6940,"UGC01342",4907,443,19,1,"shg2005","AOlf",4907,464,452,443,19,2.6,2.43,8.5,1,2.4
6944,"UGC01341",,,,,"shg2005","AOlf",10779,280,266,,25,2.5,2.26,8.9,1,3.3
6961,"UGC01347",5544,117,15,1,"shg2005","AOlf",5544,131,124,117,15,8.7,5.41,8.5,1,19.3
6965,"PG0006965",,,,,"tmc2006","Nanc",,,,,500,0.8,0.28,10.7,1,2.3
6966,"PGC006966",5008,517,7,3,"archi12","GBT",5009,540,528,519,9,14.9,16.01,3.2,2,14.8
6972,"NGC00710",6112,210,12,2,"ctf2009","GBT",6105,225,216,207,15,7.8,2.19,2.1,4,4.9
6982,"NGC00716",4570,394,11,2,"ctf2009","GBT",4563,403,395,386,16,5.8,7.81,2.1,2,9.5
6992,"AGC110596",11240,247,19,1,"hgm2011","ALFA",11240,268,256,247,19,2.8,1.8,5.5,1,3.2
6996,"AGC110598",9770,302,19,1,"shg2005","AOlf",9770,326,311,302,19,2.3,1.92,8.7,1,3
7004,"UGC01357",,,,,"shg2005","AOlf",9131,616,593,,25,2.8,2.19,8.9,1,1.8
7005,"AGC110599",10270,204,18,1,"shg2005","AOlf",10270,225,213,204,18,1.9,0.83,8.8,1,1.9
7013,"AGC110606",5270,236,19,1,"shg2005","AOlf",5270,254,245,236,19,2.6,1.27,8.5,1,2.5
7017,"UGC001355",6324,257,20,1,"tmc2006","Nanc",6324,283,266,257,20,4,2.82,11,2,4.3
7021,"AGC110600",,,,,"shg2005","AOlf",10080,311,296,,25,1.7,0.97,8.8,1,1.6
7022,"UGC01362",7932,146,19,1,"shg2005","AOlf",7932,163,154,146,19,3.1,0.77,8.8,1,2.2
7023,"AGC001359",7655,262,17,1,"hgm2011","ALFA",7655,281,271,262,17,5,2.65,5.3,1,4.5
7024,"NGC000723",1484,105,8,2,"tmc2006","Nanc",1484,114,108,102,10,21.8,12.71,10.7,1,48.6
7028,"AGC110602",,,,,"shg2005","AOlf",4686,147,140,,25,1.5,0.25,8.5,1,0.9
7030,"UGC01361",5743,200,19,1,"shg2005","AOlf",5743,217,209,200,19,3.6,1.8,8.5,1,3.6
7031,"AGC110603",4684,169,19,1,"shg2005","AOlf",4684,185,178,169,19,2.3,1.15,8.5,1,3
7039,"UGC01365",4810,246,16,1,"shg2005","GB300",4810,265,255,246,16,7.1,9.74,11.3,1,16.4
7042,"UGC01364",5091,162,13,1,"shg2005","AOlf",5091,178,171,162,13,10.8,4.28,8.6,1,7.8
7048,"AGC110610",8228,211,20,1,"shg2005","AOlf",8228,230,220,211,20,1.4,1.61,8.7,1,3.5
7055,"AGC111656",5006,133,18,1,"shg2005","AOG",5006,146,141,133,18,3.3,0.71,5.4,1,2.4
7059,"UGC01369",4946,163,18,1,"shg2005","AOlf",4946,179,172,163,18,4.7,4.94,8.7,1,13.5
7061,"ES297-032",5615,278,17,1,"tmc2006","Nanc",5615,298,287,278,17,4.9,4.12,11,1,6.7
7066,"UGC01366",5107,412,20,1,"ctf2009","GBT",,,,,500,0.5,0.27,1.6,4,0.3
7070,"PG0007070",,,,,"tmc2006","Nanc",5562,283,272,,100,5.4,2.85,11,1,4.7
7072,"UGC01373",4948,219,20,1,"shg2005","AOlf",4948,236,228,219,20,2.1,0.99,8.5,1,1.8
7073,"UGC01372",6907,279,20,1,"shg2005","AOlf",6907,299,288,279,20,2.3,2.9,8.8,1,5
7082,"UGC01374",5111,133,10,1,"shg2005","AOlf",5111,147,140,133,10,14.2,1.17,8.5,1,3.8
7085,"UGC01375",9028,241,19,1,"shg2005","AOlf",9028,262,250,241,19,3.4,3.25,8.8,1,5.8
7087,"AGC110619",5884,184,19,1,"shg2005","AOlf",5884,201,193,184,19,2.3,0.85,8.5,1,2.1
7088,"UGC01377",4763,214,18,1,"shg2005","AOlf",4763,231,223,214,18,4.6,3.31,8.5,1,7
7096,"UGC01383",5242,288,19,1,"shg2005","AOlf",5242,307,297,288,19,2.6,1.16,8.5,1,1.8
7097,"NGC00721",5597,275,15,1,"ctf2009","GBT",5597,293,284,275,15,7.8,2.66,1.6,4,4.5
7098,"UGC01379",4909,418,14,2,"shg2005","AOlf",4916,443,432,423,20,2.5,4.53,8.7,1,5.3
7104,"UGC01384",4942,190,19,1,"shg2005","AOlf",4942,207,199,190,19,3.7,2.47,8.7,1,6.3
7109,"PG0007109",1901,76,19,1,"tmc2006","Nanc",1901,92,81,76,19,2.3,0.54,10.7,2,2.1
7111,"UGC01385",5621,167,18,1,"ctf2009","GBT",5621,187,175,167,18,4.4,1.28,2.1,8,3.2
7114,"UGC01386",6222,158,18,1,"shg2005","AOlf",6222,174,166,158,18,4.8,2.02,8.5,1,5.6
7116,"AGC110626",8201,301,13,2,"shg2005","AOlf",8202,319,306,297,18,3.6,5,8.7,1,5.2
7123,"AGC110618",5631,175,19,1,"shg2005","AOlf",5631,192,184,175,19,2.4,1.81,8.7,1,4.7
7124,"UGC01380",4601,155,19,1,"shg2005","AOlf",4601,170,163,155,19,3,0.89,8.5,1,2.2
7125,"AGC110621",4636,228,19,1,"shg2005","AOG",4636,243,237,228,19,2.8,0.6,5.4,1,1.2
7135,"AGC110635",5498,218,19,1,"shg2005","AOG",5498,234,227,218,19,2.9,0.63,5.3,1,1.3
7138,"UGC001381",4866,244,19,1,"tmc2006","Nanc",4866,263,253,244,19,2.9,3.18,10.9,1,5.8
7139,"UGC01388",,,,,"shg2005","AOlf",5391,805,787,,30,1.6,0.96,8.5,1,0.7
7140,"UGC01387",,,,,"shg2005","AOlf",4538,218,210,,25,5.9,2.94,8.5,1,5.6
7145,"AGC110625",5703,400,19,1,"shg2005","AOlf",5703,421,409,400,19,2.5,1.33,8.6,1,1.6
7150,"UGC01391",5905,401,18,1,"shg2005","AOlf",5905,422,410,401,18,4.2,2.78,8.6,1,2.9
7159,"UGC01390",4368,319,20,1,"shg2005","AOlf",4368,337,328,319,20,1.9,0.36,8.5,1,0.5
7170,"AGC110639",,,,,"shg2005","AOlf",9819,244,232,,25,1.7,0.54,8.8,1,1.1
7180,"UGC01396",4938,355,18,1,"shg2005","AOlf",4938,374,364,355,18,4,3.03,8.5,1,4
7182,"NGC000726",5358,177,17,1,"tmc2006","Nanc",5358,194,185,177,17,4.8,2.95,10.7,1,6.9
7188,"AGC112527",8345,89,14,1,"sgh2008","ALFA",8345,100,95,89,14,8.5,1.56,5.5,1,6.3
7191,"NGC000749",4359,493,20,1,"tmc2006","Nanc",4359,520,502,493,20,3.4,3.51,10.9,2,3.5
7192,"AGC110644",13811,153,20,1,"shg2005","AOlf",13811,174,162,153,20,1.6,1.13,9,1,2.6
7193,"AGC110643",,,,,"shg2005","AOlf",10728,216,204,,40,2.4,1.28,8.8,1,1.8
7197,"UGC01394",6388,486,18,1,"shg2005","GB300",6388,511,495,486,18,4.6,5.73,11.5,1,5.5
7204,"AGC110648",13142,274,18,1,"shg2005","AOlf",13142,300,283,274,18,3.8,1.92,9,1,3.3
7210,"AGC410399",8119,208,20,1,"shg2005","Nanc",8119,226,217,208,20,3.8,10.19,5.6,1,18.6
7212,"ES414-012",,,,,"ctm2010","GBT",4460,265,258,,50,2.4,1.45,1.6,4,2.6
7217,"UGC01402",,,,,"shg2005","AOlf",13967,405,382,,30,1.6,1.68,9,1,2.2
7220,"UGC01398",5216,146,19,1,"shg2005","AOlf",5216,161,154,146,19,2.8,1.42,8.5,1,3.7
7221,"AGC110649",8205,237,20,1,"shg2005","AOlf",8205,257,246,237,20,1.7,0.65,8.7,1,1.2
7222,"AGC110647",,,,,"shg2005","AOG",4416,204,198,,25,3.7,0.99,5.4,1,2.4
7223,"UGC01400",,,,,"shg2005","AOlf",5236,788,770,,32,1.5,0.75,8.5,1,0.4
7229,"UGC01403",11356,251,19,1,"shg2005","AOlf",11356,275,260,251,19,3.4,2.39,9,1,4.9
7233,"AGC110654",6171,304,18,1,"shg2005","AOlf",6171,328,313,304,18,4.2,1.94,8.6,2,3
7235,"UGC01407",5085,252,16,1,"shg2005","AOlf",5085,270,261,252,16,7.6,2.99,8.5,1,5
7239,"PG0007239",,,,,"tmc2006","Nanc",,,,,500,-0.6,0,10.7,1,0
7243,"UGC01410",4980,359,7,3,"ctf2009","AOG",4979,375,366,357,8,16.6,5.47,1.3,4,3.9
7244,"AGC021479",1827,227,12,2,"shg2005","GB140",1825,242,238,229,18,3.8,9.05,4.2,1,18.3
7246,"UGC01408",7665,351,19,1,"shg2005","AOlf",7665,374,360,351,19,3.2,1.2,8.7,1,1.4
7247,"UGC01378",2933,496,17,1,"shg2005","GB140",2933,511,505,496,17,5.2,38.95,2.1,1,37
7248,"AGC110657",4857,66,9,1,"shg2005","AOlf",4857,75,70,66,9,14.8,4.45,8.4,1,23.2
7253,"AGC110651",,,,,"shg2005","AOlf",5478,102,96,,25,3,0.73,8.5,1,3
7254,"UGC01405",4965,247,19,1,"shg2005","AOlf",4965,265,256,247,19,3.8,1.5,8.5,1,2.3
7259,"NGC000748",5317,473,16,1,"tmc2006","Nanc",5317,496,482,473,16,6.1,8.27,10.9,1,8
7262,"AGC410401",1639,221,11,2,"shg2005","GB140",1636,236,233,224,18,4.4,30.64,4.2,1,65.3
7263,"UGC01404",4467,212,18,1,"shg2005","AOlf",4467,229,221,212,18,4.8,2.46,8.5,1,5.5
7273,"AGC110662",12941,269,20,1,"shg2005","AOlf",12941,295,278,269,20,1.9,0.88,8.9,1,1.5
7281,"UGC01417",11442,310,19,1,"shg2005","AOlf",11442,336,319,310,19,3,2.2,9,1,3.1
7282,"UGC01411",,,,,"shg2005","AOlf",4644,461,450,,25,3.3,12.64,8.7,1,13.5
7285,"UGC01419",6160,224,19,1,"shg2005","AOlf",6160,242,233,224,19,3.5,2.39,8.8,1,4.8
7287,"AGC110659",5229,191,19,1,"shg2005","AOlf",5229,208,200,191,19,2.6,1.87,8.6,1,4.4
7292,"UGC01420",4675,273,18,1,"ctf2009","AOG",4675,289,282,273,18,4.2,1.81,1.3,4,1.8
7300,"UGC01416",5471,368,13,2,"ctf2009","GBT",5471,392,381,372,18,4.2,1.81,2.1,4,2.2
7304,"AGC110665",5346,302,19,1,"shg2005","AOlf",5346,321,311,302,19,3,0.99,8.5,1,1.5
7306,"UGC01426",4445,292,10,2,"shg2005","GB300",4446,318,308,299,15,8.4,10.68,11.3,1,12.8
7308,"AGC110672",13105,204,18,1,"shg2005","AOlf",13105,227,213,204,18,4,2.03,8.9,1,4.5
7316,"UGC01421",,,,,"shg2005","AOlf",4603,381,371,,25,2,1.82,8.5,1,2.3
7324,"PG0007324",1856,152,8,1,"ctm2010","GBT",1856,165,161,152,8,21.6,11.56,1.6,4,34.5
7327,"AGC110680",3475,120,15,1,"shg2005","AOlf",3475,133,127,120,15,8.1,3.52,8.5,1,11.7
7328,"UGC01429",6686,393,19,1,"shg2005","Nanc",6686,414,402,393,19,3,5.18,5.5,1,5.8
7333,"UGC01422",4592,323,19,1,"shg2005","AOlf",4592,342,332,323,19,3.6,3.58,8.7,1,5.1
7335,"AGC110679",5207,273,17,1,"shg2005","AOlf",5207,291,282,273,17,5.5,4.48,8.6,1,7.5
7337,"AGC110678",10551,217,18,1,"hgm2011","ALFA",10551,237,226,217,18,4.3,2.86,5.5,1,5.5
7341,"UGC01428",,,,,"shg2005","AOlf",7941,589,569,,25,2.2,1.98,8.8,1,1.7
7354,"AGC110684",4851,152,17,1,"shg2005","AOlf",4851,167,160,152,17,4.6,2.1,8.4,1,6
7355,"UGC01435",,,,,"shg2005","AOlf",5640,501,487,,45,1,1.65,8.6,1,2.6
7362,"UGC01433",8693,110,15,1,"shg2005","AOlf",8693,125,117,110,15,7.9,2.09,8.7,1,5.6
7366,"AGC410408",5378,386,13,2,"shg2005","Nanc",5377,398,388,379,20,3,4.23,5.5,1,3.4
7368,"UGC01442",4894,177,17,1,"shg2005","GB300",4894,195,186,177,17,5.3,3.06,11.3,1,8.1
7371,"UGC01436",8823,187,19,1,"shg2005","AOlf",8823,206,196,187,19,3.8,1.55,8.9,1,2.8
7377,"AGC110685",8036,203,18,1,"shg2005","AOlf",8036,222,212,203,18,4,2.2,8.7,1,5
7385,"AGC410409",5031,197,12,2,"shg2005","GB300",5036,208,202,193,18,3.9,5.66,5.7,1,13.8
7387,"UGC01437",4902,314,8,1,"shg2005","AOlf",4902,333,323,314,8,19.8,24.08,8.5,1,35.3
7393,"AGC021494",5654,371,13,2,"shg2005","Nanc",5652,395,382,373,18,3.8,4.73,5.5,2,5.6
7395,"UGC01439",,,,,"shg2005","AOlf",5033,430,419,,42,1.1,0.51,8.5,1,0.6
7396,"UGC01441",4832,378,20,1,"shg2005","AOlf",4832,398,387,378,20,1.7,0.56,8.5,1,0.8
7400,"IC0001759",3905,107,10,1,"tmc2006","Nanc",3905,120,113,107,10,13.4,8.31,10.8,1,30
7406,"UGC01444",4777,303,17,1,"shg2005","AOlf",4777,321,312,303,17,5.2,10.69,8.7,1,16.8
7408,"ES544-002",4582,115,20,1,"tmc2006","Nanc",4582,135,122,115,20,6.9,5.23,10.6,2,17.2
7411,"UGC01446",4855,260,15,1,"shg2005","AOlf",4855,278,269,260,15,7.7,10.26,8.6,1,17.8
7417,"UGC01449",,,,,"ctf2009","GBT",5526,266,257,,100,26.2,10.04,2.1,4,15.3
7420,"UGC01448",6287,327,13,2,"shg2005","AOlf",6287,359,347,338,18,4.4,2.59,8.6,1,3.4
7425,"AGC110696",4911,249,19,1,"shg2005","AOlf",4911,267,258,249,19,2.3,0.85,8.5,1,1.6
7432,"ES544-003",,,,,"tmc2006","Nanc",4541,141,128,,60,3.8,1.96,10.6,2,4.8
7441,"UGC01452",4992,170,19,1,"shg2005","AOlf",4992,186,179,170,19,3.7,3.31,8.7,1,7.3
7443,"AGC110698",4211,102,19,1,"shg2005","AOlf",4211,114,108,102,19,2.4,0.38,8.5,1,1.8
7445,"UGC01451",4921,322,10,2,"ctf2009","GBT",4924,337,327,318,12,11.3,5.59,2.1,4,7.7
7448,"AGC110702",,,,,"shg2005","AOlf",12921,99,90,,25,1.7,0.74,9,1,3.6
7451,"AGC021508",4543,223,18,1,"shg2005","GB140",4530,233,227,,25,2.8,10.54,4.2,1,12.5
7456,"UGC001447",5108,89,20,1,"tmc2006","Nanc",5108,107,94,89,20,7.1,3.55,10.9,2,14.1
7458,"UGC01454",3509,140,15,1,"shg2005","AOlf",3509,154,148,140,15,7.7,4.97,8.6,1,14.7
7465,"UGC01457",7014,351,13,2,"shg2005","AOlf",7014,415,401,392,18,4.4,7.61,8.6,1,7
7470,"UGC01453",4911,84,10,1,"shg2005","AOlf",4911,95,89,84,10,13.9,1.88,8.7,1,10.4
7472,"UGC001423",3294,367,16,1,"archi12","GBT",3294,387,376,367,16,6.1,3.03,3.2,4,3.7
7475,"UGC01455",5141,122,8,1,"shg2005","AOlf",5141,136,129,122,8,34.3,10.19,8.7,1,33.5
7478,"UGC01461",5829,256,19,1,"shg2005","AOlf",5829,274,265,256,19,3.5,0.94,8.5,1,1.7
7485,"AGC410414",4790,113,18,1,"shg2005","GB140",4790,124,120,113,18,3.6,4.14,4.3,1,16.7
7486,"NGC000773",,,,,"tmc2006","Nanc",5415,319,303,,150,1.1,0.65,10.8,2,0.7
7488,"UGC01456",4838,251,19,1,"shg2005","AOlf",4838,268,259,251,19,3.5,1.45,8.5,1,2.6
