"# W/ DUPLICATIONS","#","HIPASS_NAME","OBS_RUN_NIGHT","OBS_DATE","NAME","OBSERVATION COMMENTS","NOD&SHUFFLE","RA","DEC","USED/OR NOT","COMMENT_ON_PPXF","MORPHOLOGICAL_TYPE (BASIC DATA)","MORPHOLOGY_SHORTENED","REDSHIFT","REDSHIFT UNCERTAINTY","MAJOR_AXIS","MINOR_AXIS","BASIC_MAGNITUDE","MAJOR_DIAMETER (ESO Uppsala)","MINOR/MAJOR RATIO (ESO Uppsala)","POSITION ANGLE (ESO Uppsala)","MAJOR_DIAMETER (RC3)","MAJOR_DIAMETER_UNC (RC3)","MINOR/MAJOR RATIO (RC3)","MINOR/MAJOR RATIO UNC (RC3)","POSITION ANGLE (RC3)","HIPASS_RV50max","HIPASS_RV50min","HIPASS_RV20max ","HIPASS_RV20min ","HIPASS_Rvmom ","HIPASS_Rvsp","HIPASS_RVGSR ","HIPASS_RVLG ","HIPASS_RVCMB ","HIPASS_RV1 ","HIPASS_RV2 ","HIPASS_RVsp1 ","HIPASS_RVsp2 ","HIPASS_RVmask","HIPASS_W50max ","HIPASS_W50min ","HIPASS_W20max ","HIPASS_W20min ","HIPASS_Speak","HIPASS_Sint","HIPASS_RMS","HIPASS_RMSclip","HIPASS_RMScube","HIPASS_cube","HIPASS_Sigma","HIPASS_Boxsize","HIPASS_Qual","HIPASS_nb","HIPASS_cf","HIPASS_ext","RC3_PGC","RC3_D25","RC3_e_D25","RC3_R25","RC3_e_R25","RC3_Ae","RC3_e_Ae","A_e in arcsec","RC3_PA","RC3_BT","RC3_BT_code","RC3_e_BT","RC3_Bmag","RC3_e_Bmag","RC3_BoT","RC3_Ai","RC3_Ag","RC3_W50","RC3_e_W50","RC3_cz","2MASX_ID","2MASX_K_b/a","2MASX_K_PA","2MASX_K_mag","2MASX_K_mag_sigma","2MASX_K_mag_chi2","2MRS_E(B-V)","ABSOLUTE_MAGNITUDE_B","ABSOLUTE_MAGNITUDE_K","cos^2(i)","sini","INCLINATION_FROM_R25","HIPASS_W50max_z","HIPASS_W50max_zs","HIPASS_W50max_zst","HIPASS_W50max_zsti","BILBI_CENTRAL_VELOCITY_DISPERSION","BILBI_ERR_VELOCITY_DISP","BILBI_ROTATIONAL_VELOCITY","BILBI_ERR_ROTATIONAL_VELOCITY","BILBI_POSITION_ANGLE","BILBI_STD_DEV_POS_ANG","BILBI_COMMENT_POS_ANG","BILBI_Wmax_z","BILBI_Wmax_zs","BILBI_Wmax_zst","BILBI_Wmax_zsti","IN_THE_TABLE_OR_NOT"
25,25,"HIPASSJ0445-59","run3/night2","15.12.2012","NGC_1672",,1,"04h45m42.5s","-59d14m50s","used",,"(R'_1:)SB(r)bc Sy2  ","Sbc",0.00444,0.00001,6.6,5.5,10.28,371.54,0.889,171,396.4,18.7,0.832,0.039,171,1334,1334,1333.5,1333.5,1335.2,1265,1150.4,1104.7,1352.4,1112.6,1574.2,200.1,3030.3,"1112.6;1574.2",250.7,250.7,303,303,0.9095,198.8,0.0331,0.0069,0.0122,51,158,28,1,0,0,0,15941,1.82,0.02,0.08,0.02,1.39,0.02,147.2825349411,170,10.28,"M",0.08,10.75,0.16,10.25,0.11,0,199,7,1282,"04454255-5914506",0.63,-85,7.02,0.03," ",0.023,-20.7794747771,-24.4880417306,0.6873285013,0.5591703664,33.9984424504,249.5918123532,246.1598123532,246.1986738493,440.2927777336,95.693719325,1.1211184698,133.468469643,,38.9421245824,8.2288216006,,132.8784891512,129.4464891512,128.5679790589,229.9263100909,1
26,26,"HIPASSJ0459-10","run8/night4","31.10.2014","NGC_1723",,1,"04h59m25.89s","-10d58m50.5s","used?","so few pixels to work","SB(r)a pec          ","Sa",0.012479,0.000023,3.2,2,12.5,"                    ","                    ","                    ",194.2,13.9,0.617,0.075,"                    ",3726.3,3690.7,3731.3,3731.3,3714.5,3584.1,3603.1,3600.3,3703.1,3528.6,3930.6,2080.7,5324,"3528.6;3930.6",338.3,267,368.3,368.3,0.0433,10.6,0.007,0.0066,0.0122,296,158,28,1,0,0,0,16493,1.51,0.03,0.21,0.05," "," ",," "," "," "," "," "," "," ",0.21,0.28," "," "," ","04592589-1058504",0.56,90,8.967,0.024,8.79,0.109,"None",-24.7971622596,0.3711337219,0.7930108941,52.4677812397,334.1303869019,330.6983869019,330.7360931846,417.063744856,157.597198787,2.7330983763,134.397208762,,51.2534095393,4.8504366245,,132.7407371037,129.3087371037,128.4267935636,161.9483345399,1
27,27,"HIPASSJ0505-37","run3/night1","14.12.2012","NGC_1792","ccd hot",1,"05h05m14.4s","-37d58m51s","not used","low snr","SA(rs)bc       HII  ","Sbc",0.004039,0.000007,5.2,2.6,10.87,327.34,0.5,137,314.9,14.8,0.501,0.036,137,1209.3,1209.3,1210.2,1210.2,1214.3,1278.3,1042.5,1010.7,1233.4,1015.1,1403.2,200.1,3030.3,"1015.1;1403.2",300.6,300.6,338.4,338.4,0.1556,40,0.0064,0.0056,0.0115,115,158,28,1,0,0,0,16709,1.72,0.02,0.3,0.03," "," ",,137,10.87,"M",0.1,10.82,0.16,10.36,0.45,0.04,277,12,1218,"05051445-3758507",0.48,-40,7.01,0.022," ",0.022,-20.8904558954,-24.3147763237,0.2402482175,0.8716374146,60.6494787557,299.3907607175,295.9587607175,296.0001950846,339.5909699711,"None","None","None",,"None","None",,"None","None","None","None",1
28,28,"HIPASSJ0507-37","run3/night3","16.12.2012","NGC_1808","is there a star in the spectrum?",1,"05h07m42.3s","-37d30m47s","not used","maps not good","(R'_1)SAB(s:)b Sy2  ","Sb",0.003319,0.000013,6.5,3.9,10.76,312.61,0.7,133,387.4,18.3,0.603,0.043,133,997.8,997.8,998.8,998.8,1000.4,932.8,828.2,796.3,1022.4,770.5,1246.8,200.1,3030.3,"770.5;1246.8",263.8,263.8,325.3,325.3,0.3449,77.8,0.0101,0.0093,0.0115,155,158,36,1,0,0,1,16779,1.81,0.02,0.22,0.03,1.32,0.03,125.3577678512,133,10.74,"M",0.1,10.74,0.15,10.43,0.22,0.07,203,25,1014,"05074234-3730469",0.42,-37,6.656,0.021," ",0.03,-20.364714754,-24.272404118,0.353772377,0.8038828416,53.502502668,262.9273441448,259.4953441448,259.5374463919,322.8548153596,"None","None","None",,"None","None",,"None","None","None","None",1
29,29,"HIPASSJ0512-15","run8/night2","29.10.2014","NGC_1832",,1,"05h12m03.33s","-15d41m16.1s","used",,"SB(r)bc             ","Sbc",0.006468,0.000017,2.6,1.7," 10.6B","                    ","                    ","                    ",154.2,11,0.661,0.047,"                    ",1936.2,1936.2,1933.1,1933.1,1931,1851.5,1800.2,1788.8,1943.3,1753.9,2113.2,376,3520.2,"1753.9;2113.2",272.7,272.7,310.1,310.1,0.1557,32.1,0.0068,0.0056,0.0115,247,158,28,1,0,1,0,16906,1.41,0.03,0.18,0.03,1.03,0.01,64.2911583143," ",11.96," ",0.13,12.44,0.25,11.59,0.27,0.19,265,11,1994,"05120333-1541160",0.88,0,8.388,0.025,4.199,0.073,-20.2218808033,-23.8899234222,0.428283109,0.7561196274,49.1232967387,270.9475114956,267.5155114956,267.5582623956,353.8570520961,107.6932201231,1.7169929433,126.444210601,,130.330864909,5.1784548208,"okay?",125.6316252489,122.1996252489,121.1280830825,160.1969829744,1
30,30,"HIPASSJ0532-14","run3/night4","17.12.2012","NGC_1954",,1,"05h32m48.3s","-14d03m46s","used?","few pixels to work","SA(rs)bc pec:       ","Sbc",0.010441,0.000017,4.2,2.2,12.44,"                    ","                    ","                    ",250.1,17.9,0.525,0.051,"                    ",3136.6,3136.6,3129.1,3129.1,3139.1,3314.2,3001.5,2985.8,3182.3,2848.7,3432.5,1474.1,4825.1,"2848.7;3432.5",438.6,438.6,496.4,496.4,0.121,38.2,0.0061,0.0053,0.0115,248,158,28,1,0,0,0,17422,1.62,0.03,0.28,0.04,1.29,0.03,116.9906759855," ",12.44," ",0.15," "," ",11.58,0.41,0.43,426,5,3033,"05324835-1403460",0.72,5,9.101,0.045," ",0.144,"None",-24.3166390381,0.2648365162,0.8574167504,59.0277614025,434.0678970865,430.6358970865,430.6649229053,502.2819098345,157.1430258179,2.1609653447,"None",,"None","None","didn't work","None","None","None","None",1
31,31,"HIPASSJ0533-21","run8/night1","28.10.2014","NGC_1964",,1,"05h33m21.76s","-21d56m44.8s","used","vel_map not good","SAB(s)b             ","Sb",0.005534,0.00001,5.6,2.1,11.58,298.54,0.437,32,337.4,7.9,0.38,0.018,32,1659.9,1509.8,1659.9,1659.9,1655.7,1478,1499.5,1475.8,1704.3,1380.4,1938.3,300.3,3030.3,"1380.4;1938.3",412.3,112.2,439.8,439.8,0.2218,56,0.0064,0.0058,0.0122,200,198,28,1,0,0,0,17436,1.75,0.01,0.42,0.02,0.97,0.01,55.9952580478,32,11.58," ",0.13,11.49,0.15,10.92,0.58,0.03,407,6,1699,"05332175-2156447",0.5,27,7.679,0.029," ",0.035,-21.0390991449,-24.3665143213,0.1320454313,0.9316407938,68.6920464759,410.0308890599,406.5988890599,406.629630392,436.466106989,8.3427738716,3.6239899865,"None",,"None","None","didn't even try to find rot_vel","None","None","None","None",1
32,32,"HIPASSJ0536-15","run8/night4","31.10.2014","MCG-03-15-006",,1,"05h36m53.17s","-15d12m14.8s","used",,"(R)SB(r)0/a:        ","S0a",0.010698,0.000038,1.2,0.9," 14.1b","                    ","                    ","                    ",70.5,10.4,0.776,0.095,"                    ",3207.1,3207.1,3209.2,3209.2,3209,3246.8,3066.6,3048.7,3258.7,3049.9,3370,1626.8,4741.8,"3049.9;3370.0",167.6,167.6,278.9,278.9,0.0398,7,0.0077,0.0066,0.0115,248,158,28,1,0,0,0,,,,,,,,,,,,,,,,,,,,,"05361263-1514382",0.226,45,12.361,0.123,2.207,,-33.3143421613,"None",1,0,0,165.8259935213,162.3939935213,162.1018736018,"None",119.9039888259,2.4812112325,"None",,"None","None","no clear rotation; not disk mostly the core","None","None","None","None",1
33,33,"HIPASSJ0541-64","run8/night3","30.10.2014","NGC_2082",,1,"05h41m51.12s","-64d18m04.1s","not used","low snr","SAB(rs+)c           ","Sc",0.00395,0.000021,1.8,1.7,12.62,113.5,0.853,38,109.2,7.8,0.933,0.067,"                    ",1184.2,1184.2,1180,1180,1185.7,1211.8,985.6,929.2,1247.1,1090,1295.9,500.8,3030.3,"1090.0;1295.9",101.9,101.9,132.8,132.8,0.0905,8.9,0.0064,0.0057,0.0115,29,158,28,1,0,0,0,17609,1.26,0.03,0.03,0.03,0.96,0.01,54.7206503614," ",12.62," ",0.13,12.83,0.16,12.5,0.04,0.15," "," ",1241,"05415112-6418039",0.94,50,9.361,0.05,8.748,0.058,-18.6046412794,-21.9321776126,0.8690783177,0.3618310134,21.2126874802,101.4990786394,98.0670786394,96.167518934,265.7801995094,"None","None","None",,"None","None",,"None","None","None","None",1
34,34,"HIPASSJ0558-23","run4/night4","18.03.2013","ESO_488G051","really cloudy",0,"05h58m52.3s ","-23d20m22s","not used","low snr","SAB(r)a             ","Sa",0.019449,0.000034,1.8,0.8,14.21,124.45,0.357,130,109.2,10.5,0.447,0.043,130,5830.8,5830.8,5818.2,5818.2,5829.4,5843.2,5658.5,5626.5,5915.8,5676.7,5938.7,4355.1,7355.4,"5676.7;5938.7",110.1,110.1,178.3,178.3,0.0445,4.8,0.0076,0.0063,0.0115,201,198,28,1,0,0,0,18175,1.26,0.04,0.35,0.04," "," ",,130," "," "," ",14.21,0.21," ",0.36,0.04," "," "," ","05585231-2320223",0.52,-65,10.699,0.051,2.977,0.029,-20.7784167152,-24.0182736355,0.1878309979,0.9012041956,64.3168076032,107.9995173864,104.5675173864,102.9186350068,114.2012382004,"None","None","None",,"None","None",,"None","None","None","None",1
35,34,"HIPASSJ0558-23","run4/night4","18.03.2013","ESO_488G051","really cloudy",0,"05h58m52.3s ","-23d20m22s","not used","low snr","SAB(r)a             ","Sa",0.019449,0.000034,1.8,0.8,14.21,124.45,0.357,130,109.2,10.5,0.447,0.043,130,5830.8,5830.8,5818.2,5818.2,5829.4,5843.2,5658.5,5626.5,5915.8,5676.7,5938.7,4355.1,7355.4,"5676.7;5938.7",110.1,110.1,178.3,178.3,0.0445,4.8,0.0076,0.0063,0.0115,201,198,28,1,0,0,0,18175,1.26,0.04,0.35,0.04," "," ",,130," "," "," ",14.21,0.21," ",0.36,0.04," "," "," ","05585231-2320223",0.52,-65,10.699,0.051,2.977,0.029,-20.7784167152,-24.0182736355,0.1878309979,0.9012041956,64.3168076032,107.9995173864,104.5675173864,102.9186350068,114.2012382004,"None","None","None",,"None","None",,"None","None","None","None",0
36,35,"HIPASSJ0612-21","run4/night1","15.03.2013","NGC_2196",,0,"06h12m09.6s ","-21d48m21s","used",,"(R':)SA(rs)ab  HII  ","Sab",0.007742,0.00002,2.8,2.2,11.82,179.89,0.833,35,169.1,8,0.776,0.056,35,2319.1,2319.1,2315.4,2315.4,2314.4,2158.9,2140.9,2106.6,2419.8,2031.6,2610.2,677.6,3981.7,"2031.6;2610.2",416.9,416.9,459.6,459.6,0.0856,29.8,0.0087,0.0062,0.0115,201,198,28,1,0,0,0,18602,1.45,0.02,0.11,0.03,1.16,0.01,86.7263862448,35,11.82," ",0.13,12.16,0.15,11.38,0.11,0.45,391,11,2301,"06120963-2148212",0.82,50,8.129,0.023,9.9,0.08,-21.0750476202,-24.6480407458,0.5967528268,0.635017459,39.4212793796,413.6971566135,410.2651566135,410.2956233348,646.1170752509,151.6731620962,2.1217930978,98.0842005987,,135.729975497,10.1544639192,,97.3306665781,93.8986665781,91.8283177125,144.6075480488,1
37,35,"HIPASSJ0612-21","run4/night1","15.03.2013","NGC_2196",,0,"06h12m09.6s ","-21d48m21s","used",,"(R':)SA(rs)ab  HII  ","Sab",0.007742,0.00002,2.8,2.2,11.82,179.89,0.833,35,169.1,8,0.776,0.056,35,2319.1,2319.1,2315.4,2315.4,2314.4,2158.9,2140.9,2106.6,2419.8,2031.6,2610.2,677.6,3981.7,"2031.6;2610.2",416.9,416.9,459.6,459.6,0.0856,29.8,0.0087,0.0062,0.0115,201,198,28,1,0,0,0,18602,1.45,0.02,0.11,0.03,1.16,0.01,86.7263862448,35,11.82," ",0.13,12.16,0.15,11.38,0.11,0.45,391,11,2301,"06120963-2148212",0.82,50,8.129,0.023,9.9,0.08,-21.0750476202,-24.6480407458,0.5967528268,0.635017459,39.4212793796,413.6971566135,410.2651566135,410.2956233348,646.1170752509,155.4001526439,2.2683140457,101.622409158,,130.172121532,11.5565519342,,100.8416927726,97.4096927726,95.4837059341,150.3639066652,0
38,36,"HIPASSJ0621-27b","run4/night2","16.03.2013","NGC_2217",,0,"06h21m39.8s ","-27d14m02s","used",,"(R)SB(rs)0/a  LINER?","S0a",0.0054,0.000017,4.5,4.2,11.71,302,0.886,105,268,12.6,0.933,0.044,"                    ",1619,1534.6,1624.4,1624.4,1621.9,1518,1434.5,1393.1,1740.4,1426.3,1839.6,311.9,3319.4,"1426.3;1839.6",252.6,83.8,292.7,292.7,0.1742,31,0.007,0.006,0.0115,202,198,28,1,0,1,0,18883,1.65,0.02,0.03,0.02,1,0.04,60," ",11.71," ",0.15,11.33,0.15,11.35,0,0.15,242,5,1609,"06213977-2714014",0.73,-67,7.093,0.041," ",0.043,-20.7849380897,-24.9659870994,0.8690783177,0.3618310134,21.2126874802,251.2432862542,247.8112862542,247.8507441708,684.9903269259,248.6828586026,3.5638118081,"None",,"None","None","didn't work; couldn't plot rot_vel","None","None","None","None",1
39,36,"HIPASSJ0621-27b","run4/night2","16.03.2013","NGC_2217",,0,"06h21m39.8s ","-27d14m02s","used",,"(R)SB(rs)0/a  LINER?","S0a",0.0054,0.000017,4.5,4.2,11.71,302,0.886,105,268,12.6,0.933,0.044,"                    ",1619,1534.6,1624.4,1624.4,1621.9,1518,1434.5,1393.1,1740.4,1426.3,1839.6,311.9,3319.4,"1426.3;1839.6",252.6,83.8,292.7,292.7,0.1742,31,0.007,0.006,0.0115,202,198,28,1,0,1,0,18883,1.65,0.02,0.03,0.02,1,0.04,60," ",11.71," ",0.15,11.33,0.15,11.35,0,0.15,242,5,1609,"06213977-2714014",0.73,-67,7.093,0.041," ",0.043,-20.7849380897,-24.9659870994,0.8690783177,0.3618310134,21.2126874802,251.2432862542,247.8112862542,247.8507441708,684.9903269259,245.8595325633,3.2862949426,"None",,"None","None","didn't work; couldn't plot rot_vel","None","None","None","None",0
40,37,"HIPASSJ0642-27","run3/night2","15.12.2012","NGC_2272",,1,"06h42m41.3s ","-27d27m34s","used",,"SAB(s)0-            ","S0",0.007104,0.000032,2.5,1.6,12.74,154.88,0.687,114,147.3,14.2,0.661,0.064,123,2129.8,2129.8,2113.5,2113.5,2121,2158.9,1926,1879.2,2267.3,1991,2260.3,665.9,3599.5,"1991.0;2260.3",93.8,93.8,167.8,167.8,0.0468,4.5,0.0063,0.0055,0.0115,202,198,28,1,0,0,0,19466,1.39,0.04,0.18,0.04," "," ",,123," "," "," ",12.74,0.21," ",0,0.71," "," "," ","06424130-2727341",0.74,-55,8.719,0.033,5.438,0.096,-20.5051938234,-23.8970840462,0.428283109,0.7561196274,49.1232967387,93.1383451957,89.7063451957,87.4567913912,115.6652839288,176.9881346684,2.3711908517,49.7393934882,,40.3617582865,15.5908302989,"could be just bulge?",49.3885373191,45.9565373191,41.5265355303,54.9205893137,1
41,38,"HIPASSJ0644-26","run3/night4","17.12.2012","ESO_490G037",,1,"06h44m22.5s ","-26d06m32s","used",,"SA(r)0/a            ","S0a",0.008379,0.00001,2.1,1.3,12.95,134.9,0.63,168,125.4,12.1,0.631,0.061,168,2504.6,2384.4,2506.9,2506.9,2478.7,2359.8,2285.2,2238.8,2628.2,2276.5,2742.1,849.5,4030.4,"2276.5;2742.1",342.4,102,369.7,369.7,0.1077,21.2,0.0083,0.0067,0.0115,202,198,28,1,0,1,0,19522,1.32,0.04,0.2,0.04," "," ",,168," "," "," ",12.95,0.21," ",0.15,0.89," "," "," ","06442250-2606320",0.76,-5,8.914,0.028,1.259,0.119,-20.9429737714,-24.06204186,0.3893132818,0.7814644702,51.3948571643,339.5548697464,336.1228697464,336.1599935584,430.1667015922,149.7707310692,1.7911377569,199.844209285,,68.1529967195,3.7530038517,,198.1836286605,194.7516286605,194.7002539051,249.1479284461,1
42,39,"HIPASSJ0711-26","run3/night1","14.12.2012","ESO_492G002","Blue ccd temp : 173; at the half twilight started",1,"07h11m40.4s ","-26d42m18s","not used","low snr","SA(r)b              ","Sb",0.008639,0.000007,2.1,1.5," 11.6B",123.03,0.654,143,128.3,12.4,0.692,0.084,143,2535.3,2504,2584.3,2584.3,2558.8,2480.4,2356.2,2302.7,2743.2,2364,2817.5,920,4100.2,"2364.0;2817.5",197.6,135.1,335.8,335.8,0.2438,44.8,0.0067,0.0061,0.013,203,198,28,1,0,0,0,20363,1.33,0.04,0.16,0.05," "," ",,143," "," "," ",12.97,0.21," ",0.23,1.3," "," "," ","07114041-2642183",0.94,-65,9.224,0.032,4.439,0.253,-21.5057260355,-23.8686232131,0.4710126748,0.7273151484,46.6617831712,195.9075546355,192.4755546355,192.4142519639,264.5541652403,"None","None","None",,,,,"None","None","None","None",1
43,40,"HIPASSJ0736-69","run4/night2","16.03.2013","NGC_2442",,0,"07h36m23.8s ","-69d31m51s","used",,"SAB(s)bc pec        ","Sbc",0.00489,0.000018,5.5,4.9,11.24,319.89,0.917,28,329.7,15.5,0.891,0.064,"                    ",1466.1,1466.1,1431.4,1431.4,1449.3,1584.6,1236.7,1167.2,1567.2,1003.8,1807.9,200.1,3030.3,"1003.8;1807.9",372.9,372.9,563.5,563.5,0.1932,69.5,0.0069,0.0061,0.0107,31,158,28,1,0,1,0,21373,1.74,0.02,0.05,0.03,1.45,0.03,169.1029758759," ",11.24,"M",0.12,11.09,0.16,10.36,0.07,0.75," "," ",1399,"07362384-6931509",0.87,27,6.869,0.038," ",0.203,-21.4685252899,-24.9961447247,0.7913232901,0.4568114599,27.1815474489,371.085392431,367.653392431,367.6873834424,804.8996483602,154.8388274371,2.5039804292,298.147954407,,143.633916533,3.8077633615,,296.6971055608,293.2651055608,293.3067903391,642.0740635572,1
44,40,"HIPASSJ0736-69","run4/night2","16.03.2013","NGC_2442",,0,"07h36m23.8s ","-69d31m51s","used",,"SAB(s)bc pec        ","Sbc",0.00489,0.000018,5.5,4.9,11.24,319.89,0.917,28,329.7,15.5,0.891,0.064,"                    ",1466.1,1466.1,1431.4,1431.4,1449.3,1584.6,1236.7,1167.2,1567.2,1003.8,1807.9,200.1,3030.3,"1003.8;1807.9",372.9,372.9,563.5,563.5,0.1932,69.5,0.0069,0.0061,0.0107,31,158,28,1,0,1,0,21373,1.74,0.02,0.05,0.03,1.45,0.03,169.1029758759," ",11.24,"M",0.12,11.09,0.16,10.36,0.07,0.75," "," ",1399,"07362384-6931509",0.87,27,6.869,0.038," ",0.203,-21.4685252899,-24.9961447247,0.7913232901,0.4568114599,27.1815474489,371.085392431,367.653392431,367.6873834424,804.8996483602,154.3053668692,2.7417582989,254.538138666,,143.021642447,4.2987797934,,253.299504091,249.867504091,249.907616543,547.0694990804,0
45,41,"HIPASSJ0755-52","run4/night3","17.03.2013","NGC_2502",,0,"07h55m51.5s ","-52d18m24s","used","Galaxy is too big","SB(rs)0^+           ","S0",0.003551,0.00002,2,1.3,13.19,127.35,0.648,124,122.5,14.9,0.631,0.061,126,1064.6,1064.6,1063.2,1063.2,1059.1,985.9,830.7,757.8,1242.3,892.9,1228,200.1,2622.7,"892.9;1228.0",219.1,219.1,246.2,246.2,0.1041,17.8,0.0082,0.007,0.013,84,158,28,1,0,0,0,22210,1.31,0.05,0.2,0.04,0.78,0.02,36.1535751645,126,13.19," ",0.13,13.08,0.21,12.12,0,1.02," "," ",1095,"07555149-5218242",0.6,-60,7.872,0.017,8.894,0.429,-19.1772141427,-23.5905148633,0.3893132818,0.7814644702,51.3948571643,218.3247288877,214.8927288877,214.9003805286,274.9969943905,156.8230519478,5.4738301469,"None",,"None","None","since galaxy is too big; couldn't see any rotation; didn't even try","None","None","None","None",1
46,41,"HIPASSJ0755-52","run4/night3","17.03.2013","NGC_2502",,0,"07h55m51.5s ","-52d18m24s","used","Galaxy is too big","SB(rs)0^+           ","S0",0.003551,0.00002,2,1.3,13.19,127.35,0.648,124,122.5,14.9,0.631,0.061,126,1064.6,1064.6,1063.2,1063.2,1059.1,985.9,830.7,757.8,1242.3,892.9,1228,200.1,2622.7,"892.9;1228.0",219.1,219.1,246.2,246.2,0.1041,17.8,0.0082,0.007,0.013,84,158,28,1,0,0,0,22210,1.31,0.05,0.2,0.04,0.78,0.02,36.1535751645,126,13.19," ",0.13,13.08,0.21,12.12,0,1.02," "," ",1095,"07555149-5218242",0.6,-60,7.872,0.017,8.894,0.429,-19.1772141427,-23.5905148633,0.3893132818,0.7814644702,51.3948571643,218.3247288877,214.8927288877,214.9003805286,274.9969943905,157.3910213759,2.8769864498,"None",,"None","None","since galaxy is too big; couldn't see any rotation; didn't even try","None","None","None","None",0
47,42,"HIPASSJ0818-25","run3/night3","16.12.2012","NGC_2566",,1,"08h18m45.6s ","-25d29m58s","used?","maps?","(R')SB(r)ab         ","Sab",0.00546,0.00001,4.05,2.93,11.82,242.66,0.727,110,203.3,9.6,0.676,0.065,110,1635.6,1608.9,1635.3,1635.3,1628.8,1584.6,1415.8,1348.3,1890.3,1493.7,1786.3,200.1,3030.3,"1493.7;1786.3",154.7,101.4,220.6,220.6,0.1679,21.5,0.008,0.007,0.0145,205,198,28,1,0,0,0,23303,1.53,0.02,0.17,0.04,1.14,0.03,82.8230558762,110,11.83," ",0.14,11.82,0.21,10.1,0.24,1.48,177,12," ","08184560-2529582",0.5,72,7.769,0.035," ",0.144,-22.0442149716,-24.5022288319,0.4491560365,0.7421886306,47.9181885562,153.8599248105,150.4279248105,149.9727753032,202.0682736312,105.4096893692,2.1818160056,90.651386482,,42.0417221493,11.7967212899,"there are some missing pixels; so rot_vel doesn't look nice",90.1591176994,86.7271176994,84.3459501583,113.6448965608,1
48,43,"HIPASSJ0824-18","run4/night3","17.03.2013","IC_2367 ",,0,"08h24m10.1s ","-18d46m32s","used?","few pixels to work","SB(r)b              ","Sb",0.008166,0.00001,2.4,1.7,13.5,"                    ","                    ","                    ",143.9,10.3,0.708,0.068,55,2445.7,2557.8,2418.3,2418.3,2432.5,2574.3,2230.8,2166.9,2706.3,2200.1,2622.7,837.5,4068.9,"2200.1;2622.7",311.4,87,383.9,383.9,0.0724,16.4,0.0067,0.0056,0.0122,253,158,28,1,0,0,0,23579,1.38,0.03,0.15,0.04," "," ",,55," "," "," "," "," "," ",0.21,0.25," "," "," ","08241008-1846318",0.9,-45,8.438,0.056,2.989,0.102,"None",-24.5744922519,0.4938993848,0.7114074889,45.3495481785,308.8777046637,305.4457046637,305.4861747815,429.4109628551,126.3369872196,2.9612409286,52.7246166661,,146.304789151,12.6022358856,"the same galaxy has two quite different results??",52.2975548333,48.8655548333,44.5937835639,62.6838826707,1
49,43,"HIPASSJ0824-18","run4/night3","17.03.2013","IC_2367 ",,0,"08h24m10.1s ","-18d46m32s","used?","few pixels to work","SB(r)b              ","Sb",0.008166,0.00001,2.4,1.7,13.5,"                    ","                    ","                    ",143.9,10.3,0.708,0.068,55,2445.7,2557.8,2418.3,2418.3,2432.5,2574.3,2230.8,2166.9,2706.3,2200.1,2622.7,837.5,4068.9,"2200.1;2622.7",311.4,87,383.9,383.9,0.0724,16.4,0.0067,0.0056,0.0122,253,158,28,1,0,0,0,23579,1.38,0.03,0.15,0.04," "," ",,55," "," "," "," "," "," ",0.21,0.25," "," "," ","08241008-1846318",0.9,-45,8.438,0.056,2.989,0.102,"None",-24.5744922519,0.4938993848,0.7114074889,45.3495481785,308.8777046637,305.4457046637,305.4861747815,429.4109628551,131.8536165314,2.8499102071,82.2230789654,,152.017107156,11.0446024349,"the same galaxy has two quite different results??",81.5570838189,78.1250838189,75.3460497093,105.9112405861,0
50,44,"HIPASSJ0833-22","run4/night1","15.03.2013","NGC_2613",,0,"08h33m22.8s ","-22d58m25s","used",,"SA(s)b         HII  ","Sb",0.005591,0.00001,7.2,1.8,11.16,457.09,0.244,113,434.7,10.1,0.245,0.012,113,1676.1,1455.2,1676.9,1676.9,1676,1398.1,1465.9,1397.2,1954.6,1304.2,2050.5,200.1,2521,"1304.2;2050.5",605.9,164,630.3,630.3,0.1741,55.9,0.0096,0.0078,0.013,206,198,28,1,0,0,0,23997,1.86,0.01,0.61,0.02,1.35,0.02,134.3232683141,113,11.16," ",0.13,11.16,0.15,9.93,0.85,0.37,599,6,1619,"08332284-2258252",0.26,-67,6.825,0.021," ",0.089,-22.2765301471,-25.651694537,0.046525932,0.9764599674,77.5434778969,602.5312477936,599.0992477936,599.1201120868,613.5634148633,163.1256509441,2.4349415567,261.489341559,,31.7578628046,3.7262434758,"could be better?",260.0354831726,256.6034831726,256.6451506285,262.8322298833,1
